,航班日期,航班号,起飞时间,降落时间,机号,机型,大机型,PF工号,PF机队名称,执飞单位名称,起飞机场三字码,起飞机场四字码,降落机场三字码,降落机场四字码,降落metar报文,降落跑道,年份,降落时间_小时,机场经度,机场纬度,降落机场名称,起飞机场经度,起飞机场纬度,PF技术等级,风险等级
38147,2024-07-23,2126,2024-07-23 09:32:00,2024-07-23 10:50:00,B-1838,A321,A320,0x1020,122.0队,C,WUH,ZHHH,XIY,ZLXY,"例行天气报告：西安(ZLXY, XIY)机场；北京时间2024-07-23 12:00；40度的风3米/秒，风向在350度至70度间变化；天空状况良好；气温为30℃，露点温度为25℃；修正海压为1001百帕；天气没有明显变化。",05R,2024,10.0,108.751999,34.447102,Xi'an Xianyang International Airport,114.213723,30.774798,机长,低风险
39766,2024-07-23,2837,2024-07-23 22:06:00,2024-07-23 23:38:00,B-2292,A321,A320,0x1021,71.0队,F,WUX,ZSWX,DLC,ZYTL,"例行天气报告：大连(ZYTL, DLC)机场；北京时间2024-07-24 00:30；100度的风3米/秒；能见度高于10公里；少云，云底高2600英尺(780米)；气温为25℃，露点温度为23℃；修正海压为1001百帕；天气没有明显变化。",10,2024,23.0,121.538477,38.965719,Dalian Zhoushuizi International Airport,120.429000854,31.4944000244,机长,高风险
39767,2024-07-25,2747,2024-07-25 11:18:00,2024-07-25 12:39:00,B-2291,A321,A320,0x1021,71.0队,F,WUX,ZSWX,DLC,ZYTL,"例行天气报告：大连(ZYTL, DLC)机场；北京时间2024-07-25 13:30；160度的风5米/秒，风向在110度至200度间变化；能见度高于10公里；微量的云，云底高1300英尺(390米)、少云，云底高3300英尺(990米)；气温为28℃，露点温度为25℃；修正海压为1002百帕；天气没有明显变化。",10,2024,12.0,121.538477,38.965719,Dalian Zhoushuizi International Airport,120.429000854,31.4944000244,机长,高风险
39768,2024-07-25,2748,2024-07-25 14:44:00,2024-07-25 16:16:00,B-2291,A321,A320,0x1021,71.0队,F,DLC,ZYTL,WUX,ZSWX,"例行天气报告：无锡(ZSWX, WUX)机场；北京时间2024-07-25 17:00；110度的风6米/秒，阵风13米/秒，风向在80度至160度间变化；能见度高于10公里；少云，云底高4000英尺(1200米)；气温为34℃，露点温度为24℃；修正海压为997百帕；天气没有明显变化。",21,2024,16.0,120.429000854,31.4944000244,Sunan Shuofang International Airport,121.538477,38.965719,机长,低风险
41377,2024-07-23,2908,2024-07-23 12:43:00,2024-07-23 14:39:00,B-2292,A321,A320,0x1024,71.0队,F,CAN,ZGGG,WUX,ZSWX,"例行天气报告：无锡(ZSWX, WUX)机场；北京时间2024-07-23 16:00；250度的风3米/秒，风向在220度至280度间变化；能见度高于10公里；少云，云底高5000英尺(1500米)；气温为38℃，露点温度为26℃；修正海压为999百帕；天气没有明显变化。",21,2024,14.0,120.429000854,31.4944000244,Sunan Shuofang International Airport,113.299004,23.392401,机长,低风险
41378,2024-07-24,2907,2024-07-25 09:19:00,2024-07-25 11:18:00,B-2292,A321,A320,0x1024,71.0队,F,WUX,ZSWX,CAN,ZGGG,"例行天气报告：广州(ZGGG, CAN)机场；北京时间2024-07-25 12:00；风向不定的风3米/秒；天空状况良好；气温为36℃，露点温度为27℃；修正海压为992百帕；天气没有明显变化。",20L,2024,11.0,113.299004,23.392401,Guangzhou Baiyun International Airport,120.429000854,31.4944000244,机长,低风险
41379,2024-07-25,2908,2024-07-25 12:55:00,2024-07-25 14:51:00,B-2292,A321,A320,0x1024,71.0队,F,CAN,ZGGG,WUX,ZSWX,"例行天气报告：无锡(ZSWX, WUX)机场；北京时间2024-07-25 16:00；110度的风6米/秒，风向在80度至140度间变化；能见度高于10公里；多云，云底高4000英尺(1200米)；气温为34℃，露点温度为25℃；修正海压为997百帕；天气没有明显变化。",21,2024,14.0,120.429000854,31.4944000244,Sunan Shuofang International Airport,113.299004,23.392401,机长,低风险
42368,2024-07-23,5499,2024-07-23 08:49:00,2024-07-23 10:58:00,B-325S,A320-NEO,A320,0x1025,167.0队,I,PVG,ZSPD,KWE,ZUGY,"例行天气报告：贵阳(ZUGY, KWE)机场；北京时间2024-07-23 12:00；160度的风4米/秒，风向在120度至200度间变化；能见度高于10公里；多云，云底高4600英尺(1380米)；气温为30℃，露点温度为19℃；修正海压为1008百帕；天气没有明显变化。",19R,2024,10.0,106.803331,26.541466,Guiyang Longdongbao International Airport,121.805,31.1434,机长,低风险
42369,2024-07-23,5500,2024-07-23 12:45:00,2024-07-23 15:15:00,B-325S,A320-NEO,A320,0x1025,167.0队,I,KWE,ZUGY,PVG,ZSPD,"例行天气报告：浦东(ZSPD, PVG)机场；北京时间2024-07-23 16:00；130度的风7米/秒；天空状况良好；气温为33℃，露点温度为27℃；修正海压为1001百帕；天气没有明显变化。",16L,2024,15.0,121.805,31.1434,Shanghai Pudong International Airport,106.803331,26.541466,机长,低风险
43373,2024-07-23,5517,2024-07-23 19:12:00,2024-07-23 20:32:00,B-308X,A320-NEO,A320,0x1026,94.0队,A,SHA,ZSSS,TAO,ZSQD,"例行天气报告：青岛(ZSQD, TAO)机场；北京时间2024-07-23 22:00；140度的风3米/秒；天空状况良好；气温为25℃，露点温度为24℃；修正海压为1001百帕；天气没有明显变化。",16,2024,20.0,120.088171,36.361953,Qingdao Jiaodong International Airport,121.33426,31.198104,教员,低风险
49019,2024-07-23,7709,2024-07-23 19:37:00,2024-07-23 20:58:00,B-6463,A319,A320,0x103,140.0队,F,CZX,ZSCG,WEH,ZSWH,"例行天气报告：威海(ZSWH, WEH)机场；北京时间2024-07-23 22:00；220度的风1米/秒；能见度高于10公里；微量的云，云底高900英尺(270米)；气温为23℃，露点温度为23℃；修正海压为1003百帕；天气没有明显变化。",21,2024,20.0,122.228996,37.187099,Weihai Dashuibo Airport,119.77546,31.920485,机长,低风险
49020,2024-07-23,7710,2024-07-23 22:03:00,2024-07-23 23:17:00,B-6463,A319,A320,0x103,140.0队,F,WEH,ZSWH,CZX,ZSCG,"例行天气报告：常州(ZSCG, CZX)机场；北京时间2024-07-24 00:00；160度的风4米/秒；天空状况良好；气温为32℃，露点温度为25℃；修正海压为1000百帕；天气没有明显变化。",11,2024,23.0,119.77546,31.920485,Changzhou Benniu International Airport,122.228996,37.187099,机长,低风险
49021,2024-07-24,2927,2024-07-24 19:26:00,2024-07-24 21:22:00,B-6472,A319,A320,0x103,140.0队,F,CZX,ZSCG,SHE,ZYTX,"例行天气报告：沈阳(ZYTX, SHE)机场；北京时间2024-07-24 22:00；110度的风2米/秒，风向在70度至150度间变化；能见度7000米；满天云，云底高4000英尺(1200米)；气温为26℃，露点温度为25℃；修正海压为1002百帕；天气没有明显变化。",6,2024,21.0,123.483002,41.639801,Shenyang Taoxian International Airport,119.77546,31.920485,机长,低风险
49460,2024-07-23,2412,2024-07-23 14:47:00,2024-07-23 15:59:00,B-6371,A320,A320,0x1030,2.0队,D,LHW,ZLLL,JGN,ZLJQ,"例行天气报告：嘉峪关(ZLJQ, JGN)机场；北京时间2024-07-23 17:00；280度的风8米/秒；能见度高于10公里；微量的云，云底高3000英尺(900米)、多云，云底高4000英尺(1200米)；气温为21℃，露点温度为11℃；修正海压为1014百帕；天气没有明显变化。",32,2024,15.0,98.3414,39.856899,Jiayuguan Airport,103.620003,36.515202,教员,低风险
50742,2024-07-23,6119,2024-07-23 15:43:00,2024-07-23 17:53:00,B-8229,A320,A320,0x1031,67.0队,P,KHN,ZSCN,DSN,ZBDS,"例行天气报告：鄂尔多斯(ZBDS, DSN)机场；北京时间2024-07-23 19:00；170度的风9米/秒；能见度高于10公里；微量的云，云底高4000英尺(1200米)；气温为27℃，露点温度为14℃；修正海压为1006百帕；天气没有明显变化。",13,2024,17.0,109.8599,39.493514,Ordos Ejin Horo Airport,115.90271,28.864815,机长,低风险
52343,2024-07-23,6552,2024-07-23 22:12:00,2024-07-24 00:42:00,B-8557,A320,A320,0x1032,93.0队,B,HRB,ZYHB,HFE,ZSOF,"例行天气报告：合肥(ZSOF, HFE)机场；北京时间2024-07-24 02:00；风向不定的风1米/秒；天空状况良好；气温为31℃，露点温度为27℃；修正海压为998百帕；天气没有明显变化。",15,2024,0.0,116.9769,31.98779,Hefei Xinqiao International Airport,126.25,45.623402,机长,低风险
52344,2024-07-24,6552,2024-07-24 23:18:00,2024-07-25 01:54:00,B-8557,A320,A320,0x1032,93.0队,B,HRB,ZYHB,HFE,ZSOF,"例行天气报告：合肥(ZSOF, HFE)机场；北京时间2024-07-25 03:00；100度的风3米/秒；天空状况良好；气温为29℃，露点温度为26℃；修正海压为995百帕；天气没有明显变化。",15,2024,1.0,116.9769,31.98779,Hefei Xinqiao International Airport,126.25,45.623402,机长,低风险
53989,2024-07-24,9905,2024-07-24 18:00:00,2024-07-24 20:17:00,B-1838,A321,A320,0x1035,124.0队,C,XIY,ZLXY,XMN,ZSAM,"例行天气报告：厦门(ZSAM, XMN)机场；北京时间2024-07-24 21:00；风向不定的风1米/秒；能见度高于10公里；微量的云，云底高5000英尺(1500米)；气温为31℃，露点温度为25℃；修正海压为990百帕；天气没有明显变化。",5,2024,20.0,118.12799835205100,24.54400062561040,Xiamen Gaoqi International Airport,108.751999,34.447102,教员,低风险
53990,2024-07-24,9906,2024-07-24 21:55:00,2024-07-25 00:11:00,B-1838,A321,A320,0x1035,124.0队,C,XMN,ZSAM,XIY,ZLXY,"例行天气报告：西安(ZLXY, XIY)机场；北京时间2024-07-25 01:00；270度的风2米/秒；天空状况良好；气温为25℃，露点温度为22℃；修正海压为1002百帕；天气没有明显变化。",23L,2024,0.0,108.751999,34.447102,Xi'an Xianyang International Airport,118.12799835205100,24.54400062561040,教员,低风险
55662,2024-07-25,5576,2024-07-26 00:33:00,2024-07-26 01:53:00,B-30FE,A320-NEO,A320,0x1037,94.0队,A,CGO,ZHCC,YNT,ZSYT,"例行天气报告：烟台(ZSYT, YNT)机场；北京时间2024-07-26 03:00；风向不定的风1米/秒；天空状况良好；气温为26℃，露点温度为24℃；修正海压为1002百帕；天气没有明显变化。",23,2024,1.0,120.978124,37.659724,Yantai Penglai International Airport,113.849165,34.526497,机长,低风险
56850,2024-07-23,9503,2024-07-23 16:12:00,2024-07-23 18:57:00,B-1861,A320,A320,0x1038,24.0队,D,LHW,ZLLL,AAT,ZWAT,"例行天气报告：阿勒泰(ZWAT, AAT)机场；北京时间2024-07-23 20:00；260度的风6米/秒；天空状况良好；气温为28℃，露点温度为7℃；修正海压为1006百帕；天气没有明显变化。",30,2024,18.0,88.085808,47.749886,Altay Xuedu Airport,103.620003,36.515202,第一副驾驶,低风险
58758,2024-07-25,2788,2024-07-25 14:54:00,2024-07-25 16:54:00,B-9970,A320,A320,0x103B,74.0队,F,KWE,ZUGY,NKG,ZSNJ,"例行天气报告：南京(ZSNJ, NKG)机场；北京时间2024-07-25 18:00；110度的风8米/秒；能见度高于10公里；微量的云，云底高4000英尺(1200米)；气温为34℃，露点温度为25℃；修正海压为995百帕；天气没有明显变化。",7,2024,16.0,118.865949,31.735032,Nanjing Lukou International Airport,106.803331,26.541466,机长,低风险
58759,2024-07-25,2952,2024-07-26 02:56:00,2024-07-26 04:48:00,B-1635,A320,A320,0x103B,74.0队,F,NKG,ZSNJ,ZUH,ZGSD,"例行天气报告：珠海金湾(ZGSD, ZUH)机场；北京时间2024-07-26 06:00；250度的风8米/秒；能见度高于10公里；微量的云，云底高1600英尺(480米)；气温为30℃，露点温度为26℃；修正海压为992百帕；天气没有明显变化。",23,2024,4.0,113.375999,22.006399,Zhuhai Jinwan Airport,118.865949,31.735032,机长,低风险
61263,2024-07-23,5197,2024-07-23 08:04:00,2024-07-23 09:45:00,B-1051,A320,A320,0x103D,20.0队,J,PKX,ZBAD,HRB,ZYHB,"例行天气报告：哈尔滨(ZYHB, HRB)机场；北京时间2024-07-23 11:00；风向不定的风1米/秒；能见度高于10公里；小阵雨；少云，云底高800英尺(240米)、多云，云底高3300英尺(990米)；气温为24℃，露点温度为21℃；修正海压为1000百帕；天气没有明显变化。",23,2024,9.0,126.25,45.623402,Harbin Taiping International Airport,116.41092,39.509945,机长,低风险
61264,2024-07-23,5197,2024-07-23 11:29:00,2024-07-23 12:29:00,B-1051,A320,A320,0x103D,20.0队,J,HRB,ZYHB,JGD,ZYJD,"例行天气报告：大兴安岭(ZYJD, JGD)机场；北京时间2024-07-23 13:00；90度的风3米/秒，风向在60度至140度间变化；能见度高于10公里；少云，云底高3300英尺(990米)；气温为29℃，露点温度为17℃；修正海压为1003百帕；天气没有明显变化。",18,2024,12.0,124.1175,50.371389,Daxing'anling Elunchun Airport,126.25,45.623402,机长,低风险
61265,2024-07-23,5198,2024-07-23 13:57:00,2024-07-23 15:04:00,B-1051,A320,A320,0x103D,20.0队,J,JGD,ZYJD,HRB,ZYHB,"例行天气报告：哈尔滨(ZYHB, HRB)机场；北京时间2024-07-23 16:00；风向不定的风1米/秒；能见度高于10公里；小阵雨；少云，云底高1000英尺(300米)、少云，云底高2000英尺(600米)；气温为24℃，露点温度为22℃；修正海压为1000百帕；天气没有明显变化。",5,2024,15.0,126.25,45.623402,Harbin Taiping International Airport,124.1175,50.371389,机长,低风险
61266,2024-07-23,6236,2024-07-24 06:57:00,2024-07-24 08:38:00,B-1679,A321,A320,0x103D,20.0队,J,HRB,ZYHB,PKX,ZBAD,"例行天气报告：北京大兴(ZBAD, PKX)机场；北京时间2024-07-24 09:30；140度的风3米/秒，风向在100度至170度间变化；天空状况良好；气温为34℃，露点温度为28℃；修正海压为998百帕；天气没有明显变化。",01L,2024,8.0,116.41092,39.509945,Beijing Daxing International Airport,126.25,45.623402,机长,低风险
61267,2024-07-25,2121,2024-07-25 23:26:00,2024-07-26 00:45:00,B-325T,A320-NEO,A320,0x103D,20.0队,J,XIY,ZLXY,PKX,ZBAD,"例行天气报告：北京大兴(ZBAD, PKX)机场；北京时间2024-07-26 01:30；210度的风1米/秒；能见度4500米；轻雾；微量的云，云底高500英尺(150米)；气温为25℃，露点温度为25℃；修正海压为1001百帕；天气没有明显变化。",01L,2024,0.0,116.41092,39.509945,Beijing Daxing International Airport,108.751999,34.447102,机长,低风险
61491,2024-07-23,288,2024-07-23 15:45:00,2024-07-23 17:27:00,B-6927,A321,A320,0x103E,167.0队,I,OKA,ROAH,PVG,ZSPD,"例行天气报告：浦东(ZSPD, PVG)机场；北京时间2024-07-23 18:00；140度的风7米/秒；天空状况良好；气温为32℃，露点温度为26℃；修正海压为1001百帕；天气没有明显变化。",16L,2024,17.0,121.805,31.1434,Shanghai Pudong International Airport,127.646004,26.195801,第一副驾驶,低风险
62782,2024-07-25,5021,2024-07-26 11:04:00,2024-07-26 12:15:00,B-6346,A320,A320,0x103F,120.0队,C,TAO,ZSQD,ICN,RKSI,"机场天气预报：首尔(RKSI, ICN)机场；北京时间2024-07-26 13:00；预报有效期从26日06时UTC到27日12时UTC；170度的风8节(5米/秒)；能见度高于10公里；少云，云底高4500英尺(1350米)、多云，云底高20000英尺(6000米)；27日05时UTC最高气温32℃，26日20时UTC最低气温26℃；从26日06时UTC到26日08时UTC，天气短时波动到180度的风15节(8米/秒)，阵风25节(13米/秒)，能见度6000米，小阵雨，微量的云，云底高1000英尺(300米)、多云，云底高3000英尺(900米)、多云，云底高7000英尺(2100米)；从26日10时UTC到26日12时UTC，天气逐渐转变到微量的云，云底高1000英尺(300米)、多云，云底高3500英尺(1050米)、多云，云底高7000英尺(2100米)；从26日17时UTC到26日19时UTC，天气短时波动到小阵雨，微量的云，云底高500英尺(150米)、多云，云底高2500英尺(750米)、满天云，云底高7000英尺(2100米)；从27日00时UTC到27日02时UTC，天气逐渐转变到200度的风15节(8米/秒)，阵风25节(13米/秒)，少云，云底高3500英尺(1050米)、多云，云底高12000英尺(3600米)；从27日10时UTC到27日12时UTC，天气逐渐转变到180度的风10节(6米/秒)，微量的云，云底高1000英尺(300米)、多云，云底高2500英尺(750米)、多云，云底高7000英尺(2100米)。",16R,2024,12.0,126.450996,37.469101,Incheon International Airport,120.088171,36.361953,教员,低风险
65922,2024-07-23,5483,2024-07-23 08:25:00,2024-07-23 10:04:00,B-6801,A320,A320,0x104A,91.0队,B,HFE,ZSOF,CKG,ZUCK,"例行天气报告：重庆(ZUCK, CKG)机场；北京时间2024-07-23 11:00；120度的风4米/秒，阵风9米/秒，风向在80度至180度间变化；天空状况良好；气温为35℃，露点温度为21℃；修正海压为999百帕；天气没有明显变化。",21,2024,10.0,106.651895,29.712254,Chongqing Jiangbei International Airport,116.9769,31.98779,机长,低风险
65923,2024-07-23,5365,2024-07-23 12:11:00,2024-07-23 13:41:00,B-6801,A320,A320,0x104A,91.0队,B,CKG,ZUCK,HFE,ZSOF,"例行天气报告：合肥(ZSOF, HFE)机场；北京时间2024-07-23 15:00；350度的风3米/秒，风向在330度至30度间变化；天空状况良好；气温为39℃，露点温度为24℃；修正海压为998百帕；天气没有明显变化。",15,2024,13.0,116.9769,31.98779,Hefei Xinqiao International Airport,106.651895,29.712254,机长,低风险
65924,2024-07-24,9917,2024-07-24 16:28:00,2024-07-24 17:50:00,B-6760,A320,A320,0x104A,91.0队,B,HFE,ZSOF,WEH,ZSWH,"例行天气报告：威海(ZSWH, WEH)机场；北京时间2024-07-24 19:00；210度的风4米/秒；能见度4000米；轻雾；多云，云底高300英尺(90米)、满天云，云底高1600英尺(480米)；气温为25℃，露点温度为25℃；修正海压为1002百帕；天气没有明显变化。",21,2024,17.0,122.228996,37.187099,Weihai Dashuibo Airport,116.9769,31.98779,机长,低风险
66982,2024-07-23,2895,2024-07-23 17:25:00,2024-07-23 19:08:00,B-30C3,A320-NEO,A320,0x104B,32.0队,F,NKG,ZSNJ,XIY,ZLXY,"例行天气报告：西安(ZLXY, XIY)机场；北京时间2024-07-23 20:00；风向不定的风2米/秒；能见度6000米；无重要云层；气温为29℃，露点温度为26℃；修正海压为1000百帕；天气没有明显变化。",05R,2024,19.0,108.751999,34.447102,Xi'an Xianyang International Airport,118.865949,31.735032,机长,低风险
66983,2024-07-23,2896,2024-07-23 20:36:00,2024-07-23 22:17:00,B-30C3,A320-NEO,A320,0x104B,32.0队,F,XIY,ZLXY,NKG,ZSNJ,"例行天气报告：南京(ZSNJ, NKG)机场；北京时间2024-07-23 23:00；140度的风2米/秒；天空状况良好；气温为32℃，露点温度为28℃；修正海压为999百帕；天气没有明显变化。",25,2024,22.0,118.865949,31.735032,Nanjing Lukou International Airport,108.751999,34.447102,机长,低风险
66984,2024-07-25,2787,2024-07-26 10:44:00,2024-07-26 12:47:00,B-30C3,A320-NEO,A320,0x104B,32.0队,F,NKG,ZSNJ,KWE,ZUGY,"例行天气报告：贵阳(ZUGY, KWE)机场；北京时间2024-07-26 14:00；50度的风3米/秒，风向在20度至90度间变化；能见度高于10公里；微量的云，云底高1200英尺(360米)、多云，云底高3300英尺(990米)；气温为32℃，露点温度为20℃；修正海压为1004百帕；天气没有明显变化。",01R,2024,12.0,106.803331,26.541466,Guiyang Longdongbao International Airport,118.865949,31.735032,机长,低风险
70074,2024-07-24,2953,2024-07-24 12:53:00,2024-07-24 15:15:00,B-9902,A320,A320,0x105,140.0队,F,CZX,ZSCG,KMG,ZPPP,"例行天气报告：昆明(ZPPP, KMG)机场；北京时间2024-07-24 16:00；风向不定的风2米/秒；能见度高于10公里；微量的浓积云，云底高3000英尺(900米)、少云，云底高3000英尺(900米)；气温为27℃，露点温度为17℃；修正海压为1010百帕；天气没有明显变化。",22,2024,15.0,102.936743,25.110313,Kunming Changshui International Airport,119.77546,31.920485,机长,低风险
70075,2024-07-25,2707,2024-07-25 20:54:00,2024-07-25 22:22:00,B-6472,A319,A320,0x105,140.0队,F,CZX,ZSCG,DYG,ZGDY,"例行天气报告：张家界(ZGDY, DYG)机场；北京时间2024-07-25 23:00；风向不定的风1米/秒；天空状况良好；气温为28℃，露点温度为28℃；修正海压为998百帕；天气没有明显变化。",8,2024,22.0,110.443001,29.1028,Zhangjiajie Hehua International Airport,119.77546,31.920485,机长,低风险
70076,2024-07-25,2708,2024-07-25 23:22:00,2024-07-26 00:49:00,B-6472,A319,A320,0x105,140.0队,F,DYG,ZGDY,CZX,ZSCG,"例行天气报告：常州(ZSCG, CZX)机场；北京时间2024-07-26 02:00；110度的风4米/秒；能见度高于10公里；微量的云，云底高3000英尺(900米)；气温为29℃，露点温度为27℃；修正海压为998百帕；天气没有明显变化。",11,2024,0.0,119.77546,31.920485,Changzhou Benniu International Airport,110.443001,29.1028,机长,低风险
72340,2024-07-24,5033,2024-07-24 12:40:00,2024-07-24 14:10:00,B-6886,A321,A320,0x1056,62.0队,I,PVG,ZSPD,ICN,RKSI,"例行天气报告：首尔(RKSI, ICN)机场；北京时间2024-07-24 15:00；210度的风9节(5米/秒)；能见度高于10公里；微量的云，云底高600英尺(180米)、多云，云底高3000英尺(900米)；气温为28℃，露点温度为26℃；修正海压为1005百帕；天气没有明显变化。",,2024,14.0,126.450996,37.469101,Incheon International Airport,121.805,31.1434,机长,低风险
72341,2024-07-24,5034,2024-07-24 16:11:00,2024-07-24 17:41:00,B-6886,A321,A320,0x1056,62.0队,I,ICN,RKSI,PVG,ZSPD,"例行天气报告：浦东(ZSPD, PVG)机场；北京时间2024-07-24 18:30；120度的风5米/秒，风向在90度至150度间变化；能见度高于10公里；少云，云底高2000英尺(600米)；气温为30℃，露点温度为26℃；修正海压为1000百帕；天气没有明显变化。",,2024,17.0,121.805,31.1434,Shanghai Pudong International Airport,126.450996,37.469101,机长,低风险
72342,2024-07-24,5359,2024-07-24 23:00:00,2024-07-25 00:53:00,B-6591,A321,A320,0x1056,62.0队,I,PVG,ZSPD,SZX,ZGSZ,"例行天气报告：深圳(ZGSZ, SZX)机场；北京时间2024-07-25 01:30；210度的风2米/秒；天空状况良好；气温为31℃，露点温度为28℃；修正海压为993百帕；天气没有明显变化。",15,2024,0.0,113.810997,22.639299,Shenzhen Bao'an International Airport,121.805,31.1434,机长,低风险
